N° ECONOMICO,FECHA DE ASIGNACIÓN,LITROS ASIGNADOS,PRECIO POR LITRO,TOTAL
TRANSPORTER (M-101),11/01/23,50.064,21.7,"1,086.39"
TRANSPORTER (M-101),12/04/23,70.76,21.9,"1,549.64"
TRANSPORTER (M-101),24/04/23,48.18,21.61,"1,041.17"
TRANSPORTER (M-101),8/05/23,66.35,21.49,"1,425.86"
TRANSPORTER (M-101),5/06/23,66,21.7,1432.2
TRANSPORTER (M-101),4/09/23,63.13,22.32,"1,409.06"
TRANSPORTER (M-101),1/11/23,32,21.02,672.64
TRANSPORTER (M-101),21/11/23,68.8,21.7,"1,492.96"
TRANSPORTER (M-101),28/11/23,54.37,20.5,"1,114.59"
TRANSPORTER (M-101),16/12/23,40.88,19.99,817.19
TRANSPORTER (M-101),8/01/24,69.54,19.69,"1,369.24"
TRANSPORTER (M-101),25/01/24,56.51,19.69,"1,112.68"
TRANSPORTER (M-101),29/01/24,60.46,19.69,"1,190.46"
TRANSPORTER (M-101),8/02/24,20,19.6,392
TRANSPORTER (M-101),12/02/24,66.38,19.6,"1,301.05"
TRANSPORTER (M-101),27/02/24,42.7,20.6,879.62
TRANSPORTER (M-101),11/03/24,82,20.6,1689.2
TRANSPORTER (M-101),26/03/24,66.86,21.1,"1,410.75"
TRANSPORTER (M-101),23/04/24,68.81,21.6,1486.3
TRANSPORTER (M-101),10/05/24,50,21.6,1080
TRANSPORTER (M-101),30/05/24,53.03,22.69,"1,203.25"
TRANSPORTER (M-101),10/06/24,76.43,22.69,1734.2
TRANSPORTER (M-101),29/06/24,69.48,22.69,1576.5
TRANSPORTER (M-101),9/07/24,55.38,22.69,"1,256.57"
TRANSPORTER (M-101),11/07/24,60.82,22.69,"1,380.01"
TRANSPORTER (M-101),11/07/24,11.01,22.69,249.82
TRANSPORTER (M-101),13/07/24,60,22.69,1361.4
TRANSPORTER (M-101),26/07/24,57,22.69,"1,293.33"
TRANSPORTER (M-101),13/08/24,70,22.69,1588.3
TRANSPORTER (M-101),26/08/24,55.36,22.69,"1,256.12"
TRANSPORTER (M-101),30/08/24,68.4,22.69,1552
TRANSPORTER (M-101),23/08/24,51,22.69,"1,157.19"
TRANSPORTER (M-101),12/09/24,30.26,22.69,686.6
TRANSPORTER (M-101),26/09/24,60.01,22.9,"1,374.23"
TRANSPORTER (M-101),20/09/24,79.74,22.9,"1,826.05"
R01,24/06/24,235,22.69,"5,332.15"
R01,25/06/24,472,22.69,"10,709.68"
R01,2/07/24,557.03,22.69,"12,639.01"
R01,28/06/24,546,22.69,"12,388.74"
R01,4/07/24,591,22.69,"13,409.79"
R01,8/07/24,121,22.69,"2,745.49"
R01,10/07/24,407,22.69,"9,234.83"
R01,18/07/24,644.72,22.69,14628.7
R01,19/07/24,120.58,22.69,"2,735.96"
R01,22/07/24,695.03,22.69,"15,770.23"
R01,24/07/24,255.51,22.69,"5,797.52"
R01,26/07/24,376.58,22.69,8544.6
R01,31/07/24,453.353,24.99,"11,329.29"
R01,2/08/24,558.29,22.69,12667.6
R01,6/08/24,564.25,22.69,"12,802.83"
R01,12/08/24,848.41,22.69,"19,250.42"
R01,9/08/24,400,25.99,10396
R01,15/08/24,647.95,22.69,"14,701.99"
R01,16/08/24,610.2,22.69,"13,845.44"
R01,20/08/24,474.16,22.69,"10,758.69"
R01,23/08/24,644.83,22.69,"14,631.19"
M33,25/09/24,196,22.9,4488.4
M33,24/09/24,724,22.9,16579.6
M33,27/09/24,272.14,22.9,"6,232.01"
M33,2/10/24,574.47,21.25,"12,207.49"
M32,10/09/24,690.04,22.69,"15,657.01"
M32,13/09/24,707.151,24.99,17671.7
M32,17/09/24,501.58,22.69,"11,380.85"
M32,19/09/24,443.02,22.9,"10,145.16"
M32,24/09/24,550.01,22.9,"12,595.23"
M32,26/09/24,399.76,24.99,9990
M32,2/10/24,644,21.25,13685
M32,5/10/24,575,21.25,"12,218.75"
M31,8/04/24,625.01,21.6,"13,500.22"
M31,10/04/24,200,24.98,4996
M31,12/04/24,200,24.99,4998
